chapter;color
IXa, Nationale Schuld;#007bc7
Ixb, FinanciÃ«n;#007bc7
V, Buitenlandse Zaken;#39870c
VI, Veiligheid en Justitie;#8fcae7
VI, Justitie en Veiligheid;#8fcae7
VIII, Onderwijs, Cultuur en Wetenschap;#76d2b6
X, Defensie;#42145f
XII, Infrastructuur en Milieu;#f9e11e
A, Infrastructuurfonds;#f9e11e
J, Deltafonds;#f9e11e
XIII, Economische Zaken;#f092cd
XIII, Economische Zaken en Klimaat;#f092cd
XIII, Landbouw, Natuur en Voedselkwaliteit;#f092cd
XV, Sociale Zaken en Werkgelegenheid;#ca005d
XVI, Volksgezondheid, Welzijn en Sport;#e17000
XVII, Buitenlandse Handel & Ontwikkelingssamenwerking;#01689b
XVIII, Wonen en Rijksdienst;#275937
VII, Binnenlandse Zaken en Koninkrijksrelaties;#d52b1e
B, Gemeentefonds;#d52b1e
C, Provinciefonds;#d52b1e
F, Diergezondheidsfonds;#d52b1e
H, BES-fonds;#d52b1e
IV, Koninkrijksrelaties;#d52b1e
IIa, De Staten Generaal;#d52b1e
IIb, Overige Hoge Colleges van Staat;#d52b1e
III, Algemene Zaken;#ffb612
I, De Koning;#ffb612
